model_id,method,ablation,task,eval_variant,steer_variant,rf_mode,steering_factor,topk,accuracy
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,10,0.01,0.36
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,10,0.03,0.54
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,10,0.05,0.58
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,10,0.07,0.66
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,10,0.09,0.6
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,10,0.1,0.58
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,10,0.5,0.0
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,10,1.0,0.0
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,8,0.01,0.3
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,8,0.03,0.5
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,8,0.05,0.56
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,8,0.07,0.58
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,8,0.09,0.58
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,8,0.1,0.56
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,8,0.5,0.0
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,8,1.0,0.0
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,6,0.01,0.32
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,6,0.03,0.38
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,6,0.05,0.44
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,6,0.07,0.48
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,6,0.09,0.46
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,6,0.1,0.46
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,6,0.5,0.0
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,6,1.0,0.0
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,5,0.01,0.28
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,5,0.03,0.34
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,5,0.05,0.4
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,5,0.07,0.46
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,5,0.09,0.42
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,5,0.1,0.44
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,5,0.5,0.0
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,5,1.0,0.0
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,4,0.01,0.26
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,4,0.03,0.36
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,4,0.05,0.38
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,4,0.07,0.4
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,4,0.09,0.42
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,4,0.1,0.4
