model_id,task,method,ablation,eval_variant,steer_variant,rf_mode,topk,max_accuracy,best_steering_factor
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,single,single,wo_rf,0.01,0.46,10.0
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,single,single,wo_rf,0.03,0.58,6.0
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,single,single,wo_rf,0.05,0.42,4.0
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,single,single,wo_rf,0.07,0.56,2.0
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,single,single,wo_rf,0.09,0.54,2.0
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,single,single,wo_rf,0.1,0.58,2.0
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,single,single,wo_rf,0.5,0.0,10.0
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,single,single,wo_rf,1.0,0.0,10.0
Qwen1.5-32B-Chat,from_paragraph-long_to_sentence,atp,steer,single,single,wo_rf,0.01,0.7,10.0
Qwen1.5-32B-Chat,from_paragraph-long_to_sentence,atp,steer,single,single,wo_rf,0.03,0.82,10.0
Qwen1.5-32B-Chat,from_paragraph-long_to_sentence,atp,steer,single,single,wo_rf,0.05,0.86,8.0
Qwen1.5-32B-Chat,from_paragraph-long_to_sentence,atp,steer,single,single,wo_rf,0.07,0.72,5.0
Qwen1.5-32B-Chat,from_paragraph-long_to_sentence,atp,steer,single,single,wo_rf,0.09,0.76,4.0
Qwen1.5-32B-Chat,from_paragraph-long_to_sentence,atp,steer,single,single,wo_rf,0.1,0.74,4.0
Qwen1.5-32B-Chat,from_paragraph-long_to_sentence,atp,steer,single,single,wo_rf,0.5,0.0,10.0
Qwen1.5-32B-Chat,from_paragraph-long_to_sentence,atp,steer,single,single,wo_rf,1.0,0.0,10.0
OLMo-2-1124-13B-DPO,from_paragraph-long_to_sentence,atp,steer,single,single,wo_rf,0.01,0.34,8.0
OLMo-2-1124-13B-DPO,from_paragraph-long_to_sentence,atp,steer,single,single,wo_rf,0.03,0.5,4.0
OLMo-2-1124-13B-DPO,from_paragraph-long_to_sentence,atp,steer,single,single,wo_rf,0.05,0.42,5.0
OLMo-2-1124-13B-DPO,from_paragraph-long_to_sentence,atp,steer,single,single,wo_rf,0.07,0.34,1.0
OLMo-2-1124-13B-DPO,from_paragraph-long_to_sentence,atp,steer,single,single,wo_rf,0.09,0.42,1.0
OLMo-2-1124-13B-DPO,from_paragraph-long_to_sentence,atp,steer,single,single,wo_rf,0.1,0.32,1.0
OLMo-2-1124-13B-DPO,from_paragraph-long_to_sentence,atp,steer,single,single,wo_rf,0.5,0.4,2.0
OLMo-2-1124-13B-DPO,from_paragraph-long_to_sentence,atp,steer,single,single,wo_rf,1.0,0.22,1.0
gemma-3-12b-it,from_paragraph-long_to_sentence,atp,steer,single,single,wo_rf,0.01,0.22,10.0
gemma-3-12b-it,from_paragraph-long_to_sentence,atp,steer,single,single,wo_rf,0.03,0.7,10.0
gemma-3-12b-it,from_paragraph-long_to_sentence,atp,steer,single,single,wo_rf,0.05,0.48,6.0
gemma-3-12b-it,from_paragraph-long_to_sentence,atp,steer,single,single,wo_rf,0.07,0.56,5.0
gemma-3-12b-it,from_paragraph-long_to_sentence,atp,steer,single,single,wo_rf,0.09,0.5,4.0
gemma-3-12b-it,from_paragraph-long_to_sentence,atp,steer,single,single,wo_rf,0.1,0.36,4.0
gemma-3-12b-it,from_paragraph-long_to_sentence,atp,steer,single,single,wo_rf,0.5,0.66,2.0
gemma-3-12b-it,from_paragraph-long_to_sentence,atp,steer,single,single,wo_rf,1.0,0.72,1.0
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,single,long,wo_rf,0.01,0.32,10.0
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,single,long,wo_rf,0.03,0.82,10.0
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,single,long,wo_rf,0.05,0.56,5.0
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,single,long,wo_rf,0.07,0.56,2.0
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,single,long,wo_rf,0.09,0.52,1.0
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,single,long,wo_rf,0.1,0.5,2.0
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,single,long,wo_rf,0.5,0.0,10.0
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,single,long,wo_rf,1.0,0.0,10.0
Qwen1.5-32B-Chat,from_paragraph-long_to_sentence,atp,steer,single,long,wo_rf,0.01,0.54,10.0
Qwen1.5-32B-Chat,from_paragraph-long_to_sentence,atp,steer,single,long,wo_rf,0.03,0.56,10.0
Qwen1.5-32B-Chat,from_paragraph-long_to_sentence,atp,steer,single,long,wo_rf,0.05,0.58,6.0
