model,task,group,n_units,probe_acc,control,excess
gemma-3-12b-it,verse,LF-only,31,1.0,1.0,0.0
gemma-3-12b-it,verse,ST-only,31,1.0,1.0,0.0
gemma-3-12b-it,summarization,LF-only,32,0.9916666666666668,0.9944444444444445,-0.002777777777777657
gemma-3-12b-it,summarization,ST-only,32,0.9916666666666668,0.9972222222222222,-0.005555555555555425
gemma-3-12b-it,bias,LF-only,31,0.975,0.9916666666666667,-0.01666666666666672
gemma-3-12b-it,bias,ST-only,31,1.0,1.0,0.0
gemma-3-12b-it,factual recall,LF-only,35,0.9916666666666668,0.9777777777777777,0.013888888888889062
gemma-3-12b-it,factual recall,ST-only,35,0.9833333333333332,0.9777777777777777,0.005555555555555425
gemma-3-12b-it,persona,LF-only,35,1.0,1.0,0.0
gemma-3-12b-it,persona,ST-only,35,1.0,1.0,0.0
Qwen1.5-14B-Chat,verse,LF-only,75,1.0,1.0,0.0
Qwen1.5-14B-Chat,verse,ST-only,75,1.0,1.0,0.0
Qwen1.5-14B-Chat,summarization,LF-only,69,1.0,1.0,0.0
Qwen1.5-14B-Chat,summarization,ST-only,69,1.0,1.0,0.0
Qwen1.5-14B-Chat,bias,LF-only,68,1.0,1.0,0.0
Qwen1.5-14B-Chat,bias,ST-only,68,1.0,1.0,0.0
Qwen1.5-14B-Chat,factual recall,LF-only,73,0.9083333333333334,0.9,0.008333333333333415
Qwen1.5-14B-Chat,factual recall,ST-only,73,0.9416666666666667,0.9083333333333333,0.033333333333333326
Qwen1.5-14B-Chat,persona,LF-only,68,0.9916666666666668,0.9916666666666667,1.1102230246251565e-16
Qwen1.5-14B-Chat,persona,ST-only,68,1.0,0.9972222222222222,0.002777777777777768
Falcon3-10B-Instruct,verse,LF-only,23,1.0,1.0,0.0
Falcon3-10B-Instruct,verse,ST-only,23,1.0,1.0,0.0
Falcon3-10B-Instruct,summarization,LF-only,22,1.0,1.0,0.0
Falcon3-10B-Instruct,summarization,ST-only,22,1.0,1.0,0.0
OLMo-2-1124-13B-DPO,verse,LF-only,68,1.0,1.0,0.0
OLMo-2-1124-13B-DPO,verse,ST-only,68,1.0,1.0,0.0
OLMo-2-1124-13B-DPO,summarization,LF-only,72,1.0,0.9944444444444445,0.005555555555555536
OLMo-2-1124-13B-DPO,summarization,ST-only,72,1.0,0.9944444444444445,0.005555555555555536
OLMo-2-1124-13B-DPO,bias,LF-only,70,0.9833333333333334,0.9833333333333334,0.0
OLMo-2-1124-13B-DPO,bias,ST-only,70,0.9833333333333334,0.9861111111111112,-0.002777777777777768
OLMo-2-1124-13B-DPO,persona,LF-only,71,1.0,1.0,0.0
OLMo-2-1124-13B-DPO,persona,ST-only,71,1.0,1.0,0.0
Qwen1.5-32B-Chat,verse,LF-only,115,1.0,1.0,0.0
Qwen1.5-32B-Chat,verse,ST-only,115,1.0,1.0,0.0
Qwen1.5-32B-Chat,summarization,LF-only,117,1.0,1.0,0.0
Qwen1.5-32B-Chat,summarization,ST-only,117,1.0,1.0,0.0
Qwen1.5-32B-Chat,bias,LF-only,116,1.0,0.9972222222222222,0.002777777777777768
Qwen1.5-32B-Chat,bias,ST-only,116,0.9916666666666668,0.9916666666666667,1.1102230246251565e-16
Qwen1.5-32B-Chat,factual recall,LF-only,112,0.925,0.9250000000000002,-1.1102230246251565e-16
Qwen1.5-32B-Chat,factual recall,ST-only,112,0.9416666666666667,0.9444444444444445,-0.002777777777777879
Qwen1.5-32B-Chat,persona,LF-only,108,0.9833333333333334,0.9861111111111112,-0.002777777777777768
Qwen1.5-32B-Chat,persona,ST-only,108,0.9833333333333334,0.9833333333333334,0.0
